날짜,기관합계,기타법인,개인,외국인합계
2003-04-29 00:00:00,109712545190 ,0 ,-152349826290 ,42637281100 
2003-04-30 00:00:00,159493641185 ,0 ,-296947978535 ,137454337350 
2003-05-02 00:00:00,-41528149425 ,0 ,-5163384575 ,46691534000 
2003-05-06 00:00:00,84367728275 ,0 ,-198358104420 ,113990376145 
2003-05-07 00:00:00,104127478170 ,0 ,-330084126450 ,225956648280 
2003-05-09 00:00:00,83980814390 ,0 ,-12284063520 ,-71696750870 
2003-05-12 00:00:00,225612174970 ,0 ,-245522686320 ,19910511350 
2003-05-13 00:00:00,-8279766255 ,0 ,-820120995 ,9099887250 
2003-05-14 00:00:00,-84620602315 ,0 ,164331715365 ,-79711113050 
2003-05-15 00:00:00,17654968405 ,0 ,79722227980 ,-97377196385 
2003-05-16 00:00:00,-158728394005 ,0 ,109240325755 ,49488068250 
2003-05-19 00:00:00,-242807513890 ,0 ,225463372120 ,17344141770 
2003-05-20 00:00:00,-24191904175 ,0 ,73413710855 ,-49221806680 
2003-05-21 00:00:00,-31193118115 ,0 ,44754457015 ,-13561338900 
2003-05-22 00:00:00,37190203940 ,0 ,-6202249695 ,-30987954245 
2003-05-23 00:00:00,166420247615 ,0 ,-173768169315 ,7347921700 
2003-05-26 00:00:00,123095063625 ,0 ,-175538327450 ,52443263825 
2003-05-27 00:00:00,-2104858265 ,0 ,9641166705 ,-7536308440 
2003-05-28 00:00:00,261450244970 ,0 ,-383091883915 ,121641638945 
2003-05-29 00:00:00,148377042290 ,0 ,-377190329110 ,228813286820 
2003-05-30 00:00:00,3216484625 ,0 ,-148590621620 ,145374136995 
2003-06-02 00:00:00,150532076985 ,0 ,-332801813490 ,182269736505 
2003-06-03 00:00:00,-114779982890 ,0 ,11515069700 ,103264913190 
2003-06-04 00:00:00,20322874625 ,0 ,-36527685125 ,16204810500 
2003-06-05 00:00:00,38698813050 ,0 ,-226547205545 ,187848392495 
2003-06-09 00:00:00,16049399685 ,0 ,-239817133005 ,223767733320 
2003-06-10 00:00:00,32441330745 ,0 ,-52595414255 ,20154083510 
2003-06-11 00:00:00,-9793843305 ,0 ,-146093426595 ,155887269900 
2003-06-12 00:00:00,-54699481550 ,0 ,-17243615050 ,71943096600 
2003-06-13 00:00:00,-162130462920 ,0 ,-44413840780 ,206544303700 
2003-06-16 00:00:00,-151697241275 ,0 ,108334616105 ,43362625170 
2003-06-17 00:00:00,-143956308760 ,0 ,-143170181680 ,287126490440 
2003-06-18 00:00:00,-148679378425 ,0 ,-77776859025 ,226456237450 
2003-06-19 00:00:00,-351320243570 ,0 ,-34750376030 ,386070619600 
2003-06-20 00:00:00,-176315757470 ,0 ,62311108520 ,114004648950 
2003-06-23 00:00:00,-11527274365 ,0 ,22207780680 ,-10680506315 
