date,주식형ETF설정액,주식형ETF해지액,주식형ETF증감,ETF제외주식형설정,ETF제외주식형해지,ETF제외주식형증감,단기금융설정,단기금융해지,단기금융증감,파생상품설정,파생상품해지,파생상품증감
2021-01-29,1680,2901,-1221,3625,1944,-2920,"48,777","68,647","-19,870","2,734","1,307","1,428"
2021-01-28,1454,901,553,2204,750,220,"80,241","35,848","44,392","2,082","1,021","1,061"
2021-01-27,1935,1919,17,4397,2461,2649,"46,675","30,587","16,089","2,039","3,902","-1,864"
2021-01-26,1480,1907,-427,7110,5630,-3279,"43,345","32,076","11,268","1,522","2,974","-1,453"
2021-01-25,1209,1582,-374,3388,2178,1533,"24,499","41,914","-17,415","1,373","4,778","-3,406"
2021-01-22,1334,1824,-489,6162,4828,-4511,"35,124","38,229","-3,105","2,210","1,774",435
2021-01-21,1146,1688,-542,2826,1680,2460,"52,896","33,224","19,673","1,278","2,742","-1,463"
2021-01-20,2059,1528,530,4011,1952,127,"22,217","28,165","-5,948","1,864","3,247","-1,383"
2021-01-19,1678,2218,-540,5259,3581,-2950,"37,731","44,263","-6,532","2,373","1,151","1,221"
2021-01-18,2067,1598,469,3680,1613,-280,"46,862","39,936","6,926","2,417",923,"1,494"
2021-01-15,1390,3426,-2036,8142,6752,-5613,"54,250","47,016","7,234",886,"2,299","-1,413"
2021-01-14,1120,2821,-1701,9637,8517,-6846,"49,041","35,765","13,277","2,365","1,826",540
