,기간자금설정,기간자금해지,증감
2020-08-25,"35,992","33,653","2,340"
2020-08-24,"36,193","46,997","-10,804"
2020-08-21,"39,256","30,843","8,412"
2020-08-20,"45,587","46,480",-893
2020-08-19,"38,816","47,770","-8,954"
2020-08-18,"34,511","45,367","-10,856"
2020-08-14,"55,718","57,717","-1,999"
2020-08-13,"42,585","29,504","13,082"
2020-08-12,"58,586","44,688","13,898"
2020-08-11,"44,640","54,384","-9,744"
2020-08-10,"40,290","59,003","-18,713"
2020-08-07,"46,786","57,598","-10,812"
2020-08-06,"40,705","38,368","2,336"
2020-08-05,"31,820","23,983","7,837"
2020-08-04,"68,951","49,259","19,692"
2020-08-03,"54,104","38,877","15,227"
2020-07-31,"39,077","69,773","-30,697"
2020-07-30,"41,918","54,658","-12,740"
2020-07-29,"68,049","77,068","-9,019"
2020-07-28,"42,071","31,335","10,736"
2020-07-27,"43,000","36,207","6,794"
2020-07-24,"47,191","53,831","-6,640"
2020-07-23,"41,718","42,095",-376
2020-07-22,"28,648","33,465","-4,817"
2020-07-21,"31,715","26,070","5,644"
2020-07-20,"42,738","35,617","7,121"
2020-07-17,"35,458","31,934","3,524"
2020-07-16,"51,611","28,930","22,681"
2020-07-15,"41,023","37,947","3,076"
2020-07-14,"44,042","31,906","12,136"
2020-07-13,"32,161","30,598","1,563"
2020-07-10,"35,218","49,459","-14,241"
2020-07-09,"31,481","28,097","3,384"
2020-07-08,"31,043","28,829","2,214"
2020-07-07,"32,771","45,150","-12,379"
2020-07-06,"44,134","20,441","23,693"
2020-07-03,"73,475","27,008","46,467"
2020-07-02,"87,423","34,060","53,363"
2020-07-01,"48,237","36,731","11,506"
2020-06-30,"70,283","108,106","-37,823"
2020-06-29,"68,997","43,662","25,336"
2020-06-26,"36,632","70,817","-34,185"
2020-06-25,"42,265","88,298","-46,033"
2020-06-24,"32,884","68,976","-36,093"
2020-06-23,"45,925","41,728","4,196"
2020-06-22,"36,558","64,481","-27,923"
2020-06-19,"30,269","66,704","-36,435"
2020-06-18,"38,104","55,364","-17,259"
2020-06-17,"37,187","45,515","-8,328"
2020-06-16,"58,709","48,414","10,295"
2020-06-15,"53,230","47,943","5,287"
2020-06-12,"37,858","39,561","-1,703"
2020-06-11,"60,886","30,748","30,138"
2020-06-10,"23,776","37,633","-13,857"
2020-06-09,"70,908","109,946","-39,038"
2020-06-08,"31,371","48,483","-17,112"
2020-06-05,"33,387","36,839","-3,452"
