,기간자금설정,기간자금해지,증감
2018-08-14,"24,839","26,233","-1,393"
2018-08-13,"32,333","29,446","2,887"
2018-08-10,"28,890","43,142","-14,253"
2018-08-09,"19,706","28,910","-9,204"
2018-08-08,"21,885","13,862","8,023"
2018-08-07,"23,295","24,477","-1,181"
2018-08-06,"20,407","19,005","1,402"
2018-08-03,"51,825","22,711","29,114"
2018-08-02,"46,046","26,722","19,324"
2018-08-01,"34,407","26,776","7,631"
2018-07-31,"52,745","81,943","-29,198"
2018-07-30,"66,225","44,185","22,040"
2018-07-27,"51,708","45,252","6,456"
2018-07-26,"24,275","24,472",-197
2018-07-25,"23,208","30,972","-7,764"
2018-07-24,"27,204","33,090","-5,885"
2018-07-23,"34,130","38,670","-4,540"
2018-07-20,"37,078","33,243","3,835"
2018-07-19,"34,972","26,770","8,203"
2018-07-18,"37,466","37,883",-418
2018-07-17,"21,642","25,872","-4,229"
2018-07-16,"42,997","27,169","15,827"
2018-07-13,"42,460","22,479","19,981"
2018-07-12,"34,405","34,924",-519
2018-07-11,"27,809","14,131","13,677"
2018-07-10,"30,282","36,851","-6,569"
2018-07-09,"26,682","17,124","9,558"
2018-07-06,"43,508","22,560","20,948"
2018-07-05,"50,820","18,664","32,156"
2018-07-04,"115,232","30,023","85,209"
2018-07-03,"84,991","25,696","59,295"
2018-07-02,"38,979","34,456","4,523"
2018-06-29,"68,438","101,706","-33,268"
2018-06-28,"28,417","57,967","-29,550"
2018-06-27,"43,040","38,899","4,141"
2018-06-26,"37,616","31,962","5,654"
2018-06-25,"30,087","59,544","-29,456"
2018-06-22,"34,362","79,288","-44,926"
2018-06-21,"25,090","39,958","-14,868"
2018-06-20,"32,198","35,532","-3,333"
2018-06-19,"35,509","28,905","6,604"
2018-06-18,"48,396","45,104","3,292"
2018-06-15,"30,367","32,257","-1,890"
2018-06-14,"31,258","25,377","5,880"
2018-06-12,"59,204","37,780","21,424"
2018-06-11,"27,156","47,238","-20,082"
2018-06-08,"40,436","48,042","-7,605"
2018-06-07,"33,176","25,477","7,699"
2018-06-05,"54,296","24,554","29,742"
2018-06-04,"72,873","24,566","48,307"
2018-06-01,"33,431","52,621","-19,190"
2018-05-31,"44,885","58,557","-13,672"
2018-05-30,"45,451","40,448","5,003"
2018-05-29,"44,609","38,328","6,281"
2018-05-28,"30,838","29,231","1,607"
2018-05-25,"18,798","75,327","-56,529"
2018-05-24,"40,249","25,962","14,287"
2018-05-23,"27,346","40,833","-13,487"
2018-05-21,"19,447","27,356","-7,909"
2018-05-18,"23,811","28,756","-4,946"
2018-05-17,"19,057","17,103","1,954"
2018-05-16,"54,324","29,083","25,241"
2018-05-15,"26,037","23,319","2,718"
2018-05-14,"28,697","19,159","9,538"
2018-05-11,"41,335","27,537","13,797"
2018-05-10,"23,927","43,949","-20,022"
2018-05-09,"22,487","17,944","4,543"
2018-05-08,"38,807","28,291","10,516"
2018-05-04,"73,142","40,270","32,872"
2018-05-03,"49,193","58,632","-9,440"
2018-05-02,"30,413","23,816","6,597"
2018-04-30,"61,284","85,839","-24,554"
2018-04-27,"29,426","36,877","-7,452"
2018-04-26,"36,364","25,311","11,052"
2018-04-25,"52,573","29,331","23,243"
2018-04-24,"49,037","47,499","1,538"
2018-04-23,"26,816","39,401","-12,585"
2018-04-20,"50,375","38,323","12,052"
2018-04-19,"25,616","29,216","-3,600"
2018-04-18,"30,262","32,226","-1,964"
2018-04-17,"41,002","22,291","18,711"
2018-04-16,"50,980","36,981","13,999"
2018-04-13,"50,917","36,892","14,026"
2018-04-12,"28,272","32,462","-4,189"
2018-04-11,"24,768","15,177","9,591"
2018-04-10,"36,764","38,634","-1,870"
2018-04-09,"35,729","30,426","5,303"
2018-04-06,"49,058","24,772","24,286"
2018-04-05,"80,744","40,364","40,380"
2018-04-04,"52,648","32,177","20,471"
2018-04-03,"67,957","27,394","40,562"
2018-04-02,"28,050","29,800","-1,750"
2018-03-30,"54,645","99,934","-45,289"
2018-03-29,"39,020","40,985","-1,965"
2018-03-28,"40,800","43,858","-3,058"
2018-03-27,"39,137","43,909","-4,772"
2018-03-26,"23,416","40,120","-16,704"
2018-03-23,"37,483","37,459",24
2018-03-22,"27,946","31,565","-3,619"
2018-03-21,"19,394","27,973","-8,579"
2018-03-20,"23,592","24,351",-759
2018-03-19,"24,079","36,626","-12,547"
2018-03-16,"47,123","29,902","17,221"
2018-03-15,"23,251","34,429","-11,178"
2018-03-14,"30,650","22,663","7,987"
2018-03-13,"33,045","24,428","8,616"
2018-03-12,"27,808","54,564","-26,756"
2018-03-09,"29,161","48,551","-19,391"
2018-03-08,"29,909","34,140","-4,230"
2018-03-07,"25,342","22,241","3,101"
2018-03-06,"39,236","27,152","12,084"
2018-03-05,"47,288","21,480","25,809"
2018-03-02,"22,099","29,387","-7,288"
2018-02-28,"56,181","72,007","-15,826"
2018-02-27,"27,488","30,688","-3,200"
2018-02-26,"30,845","24,619","6,226"
2018-02-23,"30,348","37,845","-7,498"
2018-02-22,"24,397","32,729","-8,333"
2018-02-21,"34,393","28,619","5,774"
2018-02-20,"40,313","28,190","12,123"
2018-02-19,"20,062","36,636","-16,574"
2018-02-14,"30,085","44,666","-14,581"
2018-02-13,"39,674","39,871",-197
2018-02-12,"38,322","64,501","-26,179"
2018-02-09,"30,928","41,679","-10,751"
2018-02-08,"34,704","39,248","-4,544"
2018-02-07,"31,201","25,925","5,276"
2018-02-06,"36,790","29,812","6,978"
2018-02-05,"42,823","27,161","15,662"
2018-02-02,"48,415","19,086","29,329"
2018-02-01,"42,372","31,472","10,900"
2018-01-31,"48,086","55,873","-7,788"
2018-01-30,"73,476","36,879","36,597"
2018-01-29,"42,942","35,895","7,047"
2018-01-26,"36,918","30,734","6,184"
2018-01-25,"47,384","35,670","11,715"
2018-01-24,"35,471","26,421","9,050"
2018-01-23,"38,377","27,078","11,299"
2018-01-22,"26,613","47,474","-20,861"
2018-01-19,"34,854","28,177","6,677"
2018-01-18,"28,738","37,571","-8,833"
2018-01-17,"28,410","22,600","5,810"
2018-01-16,"44,066","23,992","20,074"
2018-01-15,"32,223","26,833","5,390"
2018-01-12,"33,530","33,318",212
2018-01-11,"22,864","28,003","-5,139"
2018-01-10,"20,738","30,773","-10,035"
2018-01-09,"33,532","26,712","6,820"
2018-01-08,"41,133","18,384","22,749"
2018-01-05,"27,935","26,408","1,527"
2018-01-04,"79,083","17,467","61,615"
2018-01-03,"82,887","21,113","61,774"
2018-01-02,"57,351","39,148","18,203"
2017-12-29,"54,915","94,304","-39,389"
2017-12-28,"45,542","54,216","-8,674"
2017-12-27,"54,707","64,733","-10,026"
2017-12-26,"31,362","37,333","-5,971"
2017-12-22,"24,913","55,163","-30,250"
2017-12-21,"28,129","44,727","-16,597"
2017-12-20,"20,433","43,686","-23,253"
2017-12-19,"20,677","18,658","2,019"
2017-12-18,"25,091","25,039",52
2017-12-15,"37,963","34,241","3,721"
2017-12-14,"24,339","43,720","-19,381"
2017-12-13,"27,598","23,840","3,759"
2017-12-12,"30,320","26,190","4,130"
2017-12-11,"27,191","34,956","-7,765"
2017-12-08,"32,766","53,265","-20,499"
2017-12-07,"20,985","30,860","-9,874"
2017-12-06,"26,456","20,527","5,929"
2017-12-05,"52,271","37,253","15,018"
2017-12-04,"34,016","31,888","2,128"
2017-12-01,"34,908","30,514","4,393"
2017-11-30,"43,930","67,195","-23,265"
2017-11-29,"28,835","37,019","-8,184"
2017-11-28,"31,445","34,199","-2,754"
2017-11-27,"22,350","21,362",988
2017-11-24,"23,907","30,167","-6,261"
2017-11-23,"19,259","34,894","-15,634"
2017-11-22,"37,973","36,728","1,245"
2017-11-21,"28,391","27,059","1,332"
2017-11-20,"22,259","25,894","-3,635"
2017-11-17,"35,875","39,569","-3,694"
2017-11-16,"44,602","35,343","9,259"
2017-11-15,"24,727","25,361",-633
2017-11-14,"26,509","20,381","6,127"
2017-11-13,"27,898","26,037","1,861"
2017-11-10,"28,519","47,345","-18,826"
2017-11-09,"18,847","42,044","-23,197"
2017-11-08,"21,607","18,947","2,660"
2017-11-07,"35,562","24,573","10,989"
2017-11-06,"31,336","26,999","4,338"
2017-11-03,"39,504","26,980","12,524"
2017-11-02,"40,245","31,220","9,024"
2017-11-01,"22,280","36,866","-14,586"
2017-10-31,"35,644","61,151","-25,507"
2017-10-30,"83,342","45,194","38,148"
2017-10-27,"33,933","26,749","7,183"
2017-10-26,"19,099","28,636","-9,537"
2017-10-25,"23,673","34,394","-10,722"
2017-10-24,"23,128","33,646","-10,518"
2017-10-23,"17,892","39,306","-21,414"
2017-10-20,"34,444","33,900",543
2017-10-19,"28,958","26,177","2,780"
2017-10-18,"72,704","33,465","39,239"
2017-10-17,"36,146","31,829","4,317"
2017-10-16,"30,429","45,184","-14,755"
2017-10-13,"100,652","44,488","56,164"
2017-10-12,"42,708","38,294","4,415"
2017-10-11,"47,677","30,060","17,617"
2017-10-10,"25,571","38,982","-13,410"
2017-09-29,"49,831","70,746","-20,915"
2017-09-28,"32,424","51,370","-18,946"
2017-09-27,"36,526","41,681","-5,155"
2017-09-26,"28,850","37,851","-9,001"
2017-09-25,"26,708","44,557","-17,849"
2017-09-22,"29,525","69,146","-39,622"
2017-09-21,"23,788","49,155","-25,368"
2017-09-20,"20,198","39,135","-18,937"
2017-09-19,"24,441","25,980","-1,538"
2017-09-18,"30,708","18,066","12,643"
2017-09-15,"37,671","35,976","1,695"
2017-09-14,"23,939","22,780","1,159"
2017-09-13,"25,900","22,139","3,761"
2017-09-12,"41,874","28,099","13,774"
2017-09-11,"20,846","35,689","-14,843"
2017-09-08,"26,575","66,556","-39,981"
2017-09-07,"16,785","46,949","-30,164"
2017-09-06,"16,444","13,070","3,374"
2017-09-05,"68,240","33,853","34,387"
2017-09-04,"42,990","19,547","23,444"
2017-09-01,"22,360","21,537",824
2017-08-31,"38,610","64,849","-26,239"
2017-08-30,"27,064","42,585","-15,522"
2017-08-29,"38,462","36,874","1,588"
2017-08-28,"17,916","27,646","-9,730"
2017-08-25,"29,153","41,718","-12,565"
2017-08-24,"22,477","41,818","-19,341"
2017-08-23,"33,690","23,194","10,496"
2017-08-22,"30,621","26,887","3,733"
2017-08-21,"23,330","28,407","-5,078"
2017-08-18,"52,704","36,533","16,171"
2017-08-17,"34,366","47,825","-13,458"
2017-08-16,"48,029","23,576","24,453"
2017-08-14,"25,820","48,642","-22,822"
2017-08-11,"31,918","41,652","-9,734"
2017-08-10,"22,233","38,189","-15,957"
2017-08-09,"30,349","27,938","2,411"
2017-08-08,"29,107","55,252","-26,145"
2017-08-07,"27,021","22,974","4,047"
2017-08-04,"30,292","31,777","-1,485"
2017-08-03,"36,781","16,054","20,727"
2017-08-02,"47,629","22,176","25,452"
2017-08-01,"28,356","25,232","3,124"
2017-07-31,"29,082","56,334","-27,252"
2017-07-28,"99,165","31,634","67,531"
2017-07-27,"44,033","31,357","12,676"
2017-07-26,"32,354","29,698","2,656"
2017-07-25,"19,582","27,682","-8,100"
2017-07-24,"56,155","24,793","31,363"
2017-07-21,"32,925","47,592","-14,667"
2017-07-20,"30,057","34,754","-4,696"
2017-07-19,"33,969","25,076","8,893"
2017-07-18,"23,963","27,998","-4,036"
2017-07-17,"25,561","27,252","-1,691"
2017-07-14,"44,398","37,816","6,582"
2017-07-13,"23,154","21,274","1,880"
2017-07-12,"54,672","15,658","39,015"
2017-07-11,"33,069","35,297","-2,229"
2017-07-10,"15,874","28,391","-12,518"
2017-07-07,"38,927","24,744","14,183"
2017-07-06,"41,968","29,758","12,210"
2017-07-05,"46,238","14,127","32,111"
2017-07-04,"69,756","22,132","47,623"
2017-07-03,"29,622","18,620","11,002"
2017-06-30,"60,965","101,177","-40,212"
2017-06-29,"45,426","57,662","-12,235"
2017-06-28,"53,178","74,267","-21,089"
2017-06-27,"70,402","59,294","11,109"
2017-06-26,"26,393","79,057","-52,664"
2017-06-23,"23,079","58,953","-35,874"
2017-06-22,"28,388","36,174","-7,786"
2017-06-21,"28,195","31,728","-3,533"
2017-06-20,"25,420","30,801","-5,382"
2017-06-19,"33,750","22,927","10,823"
2017-06-16,"48,822","40,300","8,523"
2017-06-15,"35,282","32,075","3,207"
2017-06-14,"31,524","21,122","10,402"
2017-06-13,"34,831","22,337","12,494"
2017-06-12,"29,657","33,316","-3,659"
2017-06-09,"47,842","47,017",825
2017-06-08,"19,938","46,359","-26,421"
2017-06-07,"23,286","30,205","-6,919"
2017-06-05,"74,250","47,400","26,850"
2017-06-02,"47,357","33,771","13,586"
2017-06-01,"22,414","31,988","-9,573"
2017-05-31,"34,320","67,549","-33,229"
2017-05-30,"26,787","41,181","-14,394"
2017-05-29,"46,148","29,075","17,073"
2017-05-26,"28,221","44,171","-15,950"
2017-05-25,"28,335","40,828","-12,493"
2017-05-24,"26,605","49,171","-22,566"
2017-05-23,"56,001","58,982","-2,981"
2017-05-22,"24,263","39,809","-15,547"
2017-05-19,"36,324","44,781","-8,458"
2017-05-18,"29,764","33,579","-3,815"
2017-05-17,"25,885","19,461","6,424"
2017-05-16,"48,032","30,101","17,931"
2017-05-15,"28,554","28,325",229
2017-05-12,"44,886","27,365","17,521"
2017-05-11,"50,528","44,100","6,428"
2017-05-10,"60,070","49,017","11,053"
2017-05-08,"35,147","18,878","16,269"
2017-05-04,"40,973","30,047","10,927"
2017-05-02,"39,618","41,206","-1,588"
2017-04-28,"72,258","56,524","15,734"
2017-04-27,"35,084","45,770","-10,686"
2017-04-26,"26,500","44,359","-17,859"
2017-04-25,"24,105","48,609","-24,504"
2017-04-24,"22,891","37,717","-14,826"
2017-04-21,"26,573","31,142","-4,568"
2017-04-20,"18,875","23,384","-4,509"
2017-04-19,"34,107","24,371","9,736"
2017-04-18,"31,577","26,193","5,384"
2017-04-17,"21,503","28,288","-6,784"
2017-04-14,"42,953","27,196","15,756"
2017-04-13,"23,778","19,991","3,787"
2017-04-12,"33,472","19,457","14,015"
2017-04-11,"43,223","23,779","19,444"
2017-04-10,"25,954","40,254","-14,300"
2017-04-07,"37,717","26,318","11,399"
2017-04-06,"40,674","30,273","10,401"
2017-04-05,"66,708","13,440","53,268"
2017-04-04,"81,987","21,525","60,462"
2017-04-03,"29,150","32,590","-3,440"
2017-03-31,"51,937","85,029","-33,092"
2017-03-30,"32,545","72,163","-39,619"
2017-03-29,"30,112","40,227","-10,115"
2017-03-28,"24,673","29,158","-4,485"
2017-03-27,"35,663","27,435","8,228"
2017-03-24,"28,631","28,995",-364
2017-03-23,"23,201","29,769","-6,568"
2017-03-22,"30,561","24,895","5,666"
2017-03-21,"21,739","31,715","-9,976"
2017-03-20,"29,167","33,931","-4,764"
2017-03-17,"35,068","38,900","-3,833"
2017-03-16,"40,832","27,072","13,760"
2017-03-15,"23,909","19,771","4,138"
2017-03-14,"31,288","28,516","2,772"
2017-03-13,"32,242","18,964","13,278"
2017-03-10,"21,979","48,583","-26,604"
2017-03-09,"23,644","66,268","-42,624"
2017-03-08,"24,794","22,744","2,050"
2017-03-07,"35,705","27,608","8,097"
2017-03-06,"51,826","22,707","29,119"
2017-03-03,"36,937","28,489","8,448"
2017-03-02,"48,027","29,701","18,326"
2017-02-28,"47,231","70,712","-23,481"
2017-02-27,"29,351","40,172","-10,821"
2017-02-24,"23,295","37,104","-13,810"
2017-02-23,"23,879","41,608","-17,729"
2017-02-22,"22,246","38,590","-16,344"
2017-02-21,"20,878","29,446","-8,568"
2017-02-20,"19,751","27,179","-7,428"
2017-02-17,"18,567","22,933","-4,366"
2017-02-16,"37,383","20,933","16,449"
2017-02-15,"36,690","30,168","6,521"
2017-02-14,"21,751","16,727","5,024"
2017-02-13,"26,172","22,404","3,768"
2017-02-10,"39,272","39,858",-586
2017-02-09,"22,611","30,520","-7,909"
2017-02-08,"36,583","19,003","17,580"
2017-02-07,"28,367","30,480","-2,113"
2017-02-06,"30,644","20,903","9,741"
2017-02-03,"65,728","22,562","43,166"
2017-02-02,"34,340","20,979","13,361"
2017-02-01,"74,083","16,167","57,915"
2017-01-31,"28,741","55,191","-26,449"
2017-01-26,"31,400","30,226","1,174"
2017-01-25,"22,847","43,774","-20,928"
2017-01-24,"21,259","35,440","-14,181"
2017-01-23,"17,678","33,083","-15,405"
2017-01-20,"23,635","53,169","-29,534"
2017-01-19,"17,341","35,935","-18,594"
2017-01-18,"58,373","27,078","31,295"
2017-01-17,"28,537","25,820","2,717"
2017-01-16,"66,521","26,623","39,898"
2017-01-13,"50,978","24,841","26,137"
2017-01-12,"29,554","15,905","13,649"
2017-01-11,"25,617","20,362","5,255"
2017-01-10,"31,289","38,861","-7,572"
2017-01-09,"29,361","25,764","3,598"
2017-01-06,"23,036","19,028","4,008"
2017-01-05,"28,449","22,774","5,675"
2017-01-04,"78,600","28,416","50,184"
2017-01-03,"68,782","28,271","40,511"
2017-01-02,"34,286","33,785",501
2016-12-30,"42,412","82,402","-39,989"
2016-12-29,"39,643","71,417","-31,774"
2016-12-28,"40,014","55,488","-15,474"
2016-12-27,"34,178","51,352","-17,174"
2016-12-26,"27,269","57,841","-30,572"
2016-12-23,"17,479","42,635","-25,156"
2016-12-22,"25,805","50,399","-24,593"
2016-12-21,"22,268","29,500","-7,232"
2016-12-20,"25,135","30,480","-5,344"
2016-12-19,"24,492","27,319","-2,827"
2016-12-16,"40,602","18,173","22,429"
2016-12-15,"27,752","27,445",306
2016-12-14,"20,131","21,044",-912
2016-12-13,"24,179","18,297","5,881"
2016-12-12,"23,216","31,778","-8,561"
2016-12-09,"19,060","39,842","-20,782"
2016-12-08,"17,426","83,390","-65,964"
2016-12-07,"22,703","21,419","1,284"
2016-12-06,"31,064","18,828","12,236"
2016-12-05,"64,691","27,236","37,455"
2016-12-02,"47,473","18,572","28,902"
2016-12-01,"23,345","25,495","-2,149"
2016-11-30,"32,129","43,160","-11,031"
2016-11-29,"56,807","32,972","23,835"
2016-11-28,"34,151","41,316","-7,164"
2016-11-25,"18,485","30,783","-12,298"
2016-11-24,"18,330","29,608","-11,278"
2016-11-23,"22,649","32,208","-9,559"
2016-11-22,"13,777","18,802","-5,025"
2016-11-21,"16,254","27,796","-11,542"
2016-11-18,"29,416","29,835",-420
2016-11-17,"26,959","37,566","-10,606"
2016-11-16,"43,032","36,258","6,774"
2016-11-15,"55,127","33,936","21,191"
2016-11-14,"21,114","44,584","-23,470"
2016-11-11,"33,126","22,842","10,284"
2016-11-10,"18,388","40,839","-22,451"
2016-11-09,"15,872","13,580","2,292"
2016-11-08,"29,954","32,953","-2,999"
2016-11-07,"21,269","19,835","1,435"
2016-11-04,"28,885","24,497","4,388"
2016-11-03,"58,168","26,527","31,641"
2016-11-02,"72,286","18,420","53,866"
2016-11-01,"30,479","26,172","4,307"
2016-10-31,"40,454","98,378","-57,925"
2016-10-28,"56,587","59,156","-2,570"
2016-10-27,"38,042","21,872","16,169"
2016-10-26,"28,115","21,669","6,445"
2016-10-25,"29,042","24,623","4,419"
2016-10-24,"15,761","31,313","-15,551"
2016-10-21,"22,686","25,813","-3,127"
2016-10-20,"14,487","37,740","-23,252"
2016-10-19,"20,925","19,109","1,816"
2016-10-18,"24,823","22,939","1,884"
2016-10-17,"21,305","17,545","3,760"
2016-10-14,"54,895","29,618","25,277"
2016-10-13,"30,519","20,857","9,662"
2016-10-12,"29,780","33,522","-3,742"
2016-10-11,"34,300","19,084","15,216"
2016-10-10,"16,886","31,447","-14,560"
2016-10-07,"74,155","27,228","46,927"
2016-10-06,"53,391","23,820","29,571"
2016-10-05,"36,442","21,300","15,142"
2016-10-04,"26,614","28,003","-1,389"
2016-09-30,"33,764","71,937","-38,173"
2016-09-29,"19,675","72,408","-52,734"
2016-09-28,"36,767","41,822","-5,054"
2016-09-27,"34,296","47,574","-13,278"
2016-09-26,"30,616","34,602","-3,986"
2016-09-23,"26,321","32,645","-6,324"
2016-09-22,"30,765","34,581","-3,816"
2016-09-21,"49,842","42,129","7,712"
2016-09-20,"36,313","19,227","17,085"
2016-09-19,"24,250","21,490","2,759"
2016-09-13,"58,172","34,925","23,247"
2016-09-12,"42,785","60,303","-17,518"
2016-09-09,"34,658","60,498","-25,840"
2016-09-08,"15,105","38,546","-23,441"
2016-09-07,"21,288","34,910","-13,621"
2016-09-06,"68,663","72,906","-4,242"
2016-09-05,"37,193","20,001","17,193"
2016-09-02,"30,957","35,988","-5,032"
2016-09-01,"23,239","22,955",284
2016-08-31,"25,917","42,776","-16,858"
2016-08-30,"41,495","44,768","-3,273"
2016-08-29,"20,571","45,520","-24,949"
2016-08-26,"22,094","20,288","1,805"
2016-08-25,"19,920","21,252","-1,332"
2016-08-24,"35,151","40,327","-5,176"
2016-08-23,"18,118","22,537","-4,419"
2016-08-22,"17,217","23,128","-5,911"
2016-08-19,"21,186","49,480","-28,294"
2016-08-18,"45,669","25,614","20,055"
2016-08-17,"49,700","22,064","27,636"
2016-08-16,"23,886","19,478","4,407"
2016-08-12,"25,131","18,957","6,174"
2016-08-11,"15,952","20,383","-4,432"
2016-08-10,"26,223","37,640","-11,416"
2016-08-09,"25,100","50,367","-25,267"
2016-08-08,"17,404","13,391","4,012"
2016-08-05,"30,000","23,348","6,652"
2016-08-04,"39,640","22,436","17,204"
2016-08-03,"52,055","47,339","4,716"
2016-08-02,"34,371","20,322","14,048"
2016-08-01,"23,492","29,297","-5,805"
2016-07-29,"35,622","57,099","-21,477"
2016-07-28,"44,612","21,190","23,423"
2016-07-27,"38,679","15,991","22,688"
2016-07-26,"31,189","17,434","13,756"
2016-07-25,"29,321","36,238","-6,917"
2016-07-22,"31,708","32,103",-395
2016-07-21,"19,892","38,281","-18,388"
2016-07-20,"23,981","37,502","-13,522"
2016-07-19,"26,599","25,211","1,388"
2016-07-18,"32,733","29,851","2,882"
2016-07-15,"57,724","25,698","32,025"
2016-07-14,"27,514","32,247","-4,732"
2016-07-13,"35,803","27,371","8,432"
2016-07-12,"37,809","22,261","15,548"
2016-07-11,"23,334","30,726","-7,392"
2016-07-08,"43,536","33,401","10,134"
2016-07-07,"21,290","16,326","4,964"
2016-07-06,"30,194","18,117","12,076"
2016-07-05,"79,879","15,707","64,172"
2016-07-04,"95,568","22,143","73,425"
2016-07-01,"29,173","34,667","-5,493"
2016-06-30,"51,970","91,531","-39,562"
2016-06-29,"85,223","56,701","28,522"
2016-06-28,"46,100","57,884","-11,784"
2016-06-27,"26,642","36,060","-9,418"
2016-06-24,"21,888","30,672","-8,784"
2016-06-23,"29,536","55,759","-26,223"
2016-06-22,"46,807","34,838","11,970"
2016-06-21,"33,049","40,810","-7,761"
2016-06-20,"29,889","25,363","4,526"
2016-06-17,"25,769","34,168","-8,399"
2016-06-16,"53,393","38,509","14,885"
2016-06-15,"46,578","37,880","8,698"
2016-06-14,"49,231","42,529","6,701"
2016-06-13,"48,458","26,303","22,156"
2016-06-10,"40,083","32,175","7,909"
2016-06-09,"35,142","82,273","-47,131"
2016-06-08,"18,051","28,360","-10,309"
2016-06-07,"20,385","15,395","4,990"
2016-06-03,"50,541","20,479","30,062"
2016-06-02,"30,231","22,599","7,632"
2016-06-01,"18,426","21,509","-3,083"
2016-05-31,"37,048","39,661","-2,612"
2016-05-30,"37,686","41,728","-4,042"
2016-05-27,"28,287","32,283","-3,995"
2016-05-26,"27,471","18,271","9,200"
2016-05-25,"27,090","32,088","-4,998"
2016-05-24,"31,045","22,008","9,037"
2016-05-23,"22,540","27,271","-4,731"
2016-05-20,"43,578","40,651","2,927"
2016-05-19,"34,675","33,136","1,539"
2016-05-18,"39,972","35,429","4,543"
2016-05-17,"29,670","15,531","14,139"
2016-05-16,"48,235","25,757","22,479"
2016-05-13,"51,034","26,945","24,089"
2016-05-12,"28,727","34,581","-5,854"
2016-05-11,"29,519","24,428","5,092"
2016-05-10,"28,113","29,461","-1,349"
2016-05-09,"58,784","35,923","22,861"
2016-05-04,"43,297","37,303","5,995"
2016-05-03,"50,727","18,708","32,018"
2016-05-02,"29,356","29,262",94
2016-04-29,"30,683","60,889","-30,205"
2016-04-28,"60,125","50,987","9,138"
2016-04-27,"27,241","23,996","3,245"
2016-04-26,"21,424","28,714","-7,290"
2016-04-25,"22,333","27,015","-4,682"
2016-04-22,"33,885","33,572",312
2016-04-21,"17,716","22,154","-4,438"
2016-04-20,"25,229","33,480","-8,251"
2016-04-19,"25,826","20,509","5,316"
2016-04-18,"39,501","30,509","8,991"
2016-04-15,"37,666","28,361","9,305"
2016-04-14,"18,284","27,573","-9,289"
2016-04-12,"42,963","34,776","8,187"
2016-04-11,"19,475","27,867","-8,392"
2016-04-08,"36,538","35,574",964
2016-04-07,"25,574","26,797","-1,223"
2016-04-06,"29,846","13,344","16,502"
2016-04-05,"59,690","17,050","42,640"
2016-04-04,"57,522","23,435","34,087"
2016-04-01,"20,294","29,485","-9,191"
2016-03-31,"30,904","81,628","-50,724"
2016-03-30,"35,192","43,381","-8,189"
2016-03-29,"31,439","42,914","-11,475"
2016-03-28,"22,475","30,556","-8,081"
2016-03-25,"44,514","34,220","10,295"
2016-03-24,"19,663","25,975","-6,312"
2016-03-23,"34,204","29,586","4,618"
2016-03-22,"32,207","36,297","-4,091"
2016-03-21,"22,634","26,262","-3,629"
2016-03-18,"19,829","29,703","-9,874"
2016-03-17,"19,067","17,742","1,325"
2016-03-16,"39,764","31,322","8,442"
2016-03-15,"27,496","29,625","-2,128"
2016-03-14,"24,097","20,885","3,213"
2016-03-11,"22,934","26,093","-3,159"
2016-03-10,"15,904","38,754","-22,850"
2016-03-09,"25,318","68,593","-43,275"
2016-03-08,"28,251","38,993","-10,742"
2016-03-07,"24,714","33,146","-8,432"
2016-03-04,"51,648","37,816","13,833"
2016-03-03,"46,907","33,118","13,789"
2016-03-02,"23,476","30,195","-6,718"
2016-02-29,"40,443","57,236","-16,793"
2016-02-26,"41,383","30,877","10,506"
2016-02-25,"29,184","26,520","2,664"
2016-02-24,"44,701","51,601","-6,900"
2016-02-23,"22,432","27,330","-4,898"
2016-02-22,"17,197","22,309","-5,112"
2016-02-19,"22,428","25,858","-3,429"
2016-02-18,"33,899","33,545",354
2016-02-17,"54,156","28,348","25,808"
2016-02-16,"34,059","22,349","11,710"
2016-02-15,"36,350","22,961","13,388"
2016-02-12,"45,540","27,330","18,209"
2016-02-11,"29,128","40,111","-10,982"
2016-02-05,"24,487","18,010","6,476"
2016-02-04,"29,016","17,639","11,377"
2016-02-03,"46,879","22,928","23,951"
2016-02-02,"40,528","19,807","20,722"
2016-02-01,"20,041","25,864","-5,823"
2016-01-29,"30,987","56,691","-25,705"
2016-01-28,"61,446","39,061","22,384"
2016-01-27,"28,369","20,896","7,472"
2016-01-26,"18,267","19,214",-948
2016-01-25,"29,043","17,561","11,482"
2016-01-22,"23,839","27,888","-4,049"
2016-01-21,"21,844","19,324","2,519"
2016-01-20,"49,921","17,253","32,668"
2016-01-19,"37,135","20,623","16,512"
2016-01-18,"38,111","16,468","21,643"
2016-01-15,"30,643","27,477","3,166"
2016-01-14,"21,508","14,515","6,993"
2016-01-13,"30,804","14,726","16,078"
2016-01-12,"38,826","27,202","11,624"
2016-01-11,"36,716","29,342","7,374"
2016-01-08,"37,173","27,070","10,104"
2016-01-07,"28,779","17,152","11,627"
2016-01-06,"55,602","16,055","39,547"
2016-01-05,"53,851","26,779","27,073"
2016-01-04,"30,226","20,389","9,837"
2015-12-31,"47,076","45,186","1,890"
2015-12-30,"32,781","64,158","-31,377"
2015-12-29,"29,913","43,602","-13,689"
2015-12-28,"27,974","36,911","-8,936"
2015-12-24,"18,887","36,419","-17,531"
2015-12-23,"29,829","33,990","-4,161"
2015-12-22,"33,595","37,176","-3,581"
2015-12-21,"16,210","25,803","-9,594"
2015-12-18,"23,671","23,499",172
2015-12-17,"16,638","22,959","-6,322"
